Date;Field;Treatment;Repeat;Area_m2;Weight_g;Humidity;Density;Weight_kg/ha;Weight_reduction_prop;Weight_reduction;Yield_kg/ha_HR14;Observations
2025-09-19;5;BE;2;1;1001,50;15,68;44,26;10015;1,992410;199,54;9815,46;
2025-09-19;5;BE;3;1;766,50;12,76;45,38;7665;-1,421366;-108,95;7773,95;
2025-09-19;5;BE;4;1;899,86;13,3;43,88;8998,6;-0,807382;-72,65;9071,25;
2025-09-19;5;FC;1;1;624,70;10,15;45,91;6247;-4,284919;-267,68;6514,68;
2025-09-19;5;FC;2;1;1099,30;15,41;44,05;10993;1,666864;183,24;10809,76;
2025-09-19;5;FC;3;1;880,51;14,24;43,42;8805,1;0,279851;24,64;8780,46;
2025-09-19;5;FC;4;1;676,00;14,02;45,93;6760;0,023261;1,57;6758,43;
2025-09-19;5;FE;1;1;760,80;12,49;45,13;7608;-1,725517;-131,28;7739,28;
2025-09-19;5;FE;2;1;901,44;13,55;44,4;9014,4;-0,520532;-46,92;9061,32;
2025-09-19;5;FE;3;1;972,30;13,39;44,86;9723;-0,704307;-68,48;9791,48;
2025-09-19;5;FE;4;1;1012,00;13,46;44,89;10120;-0,623989;-63,15;10183,15;
2025-09-19;5;FO;1;1;725,08;11,4;50,25;7250,8;-2,934537;-212,78;7463,58;
2025-09-19;5;FO;2;1;831,70;12,16;44,37;8317;-2,094718;-174,22;8491,22;
2025-09-19;5;FO;3;1;1015,50;11,58;44,65;10155;-2,736937;-277,94;10432,94;
2025-09-19;5;FO;4;1;698,10;11,87;45,52;6981;-2,416884;-168,72;7149,72;
